Index,Says Persona,Replies Player,Action Persona,Action Player,Condition,Next,Result,Comment
-2,,,"Après un trajet assez court, le joueur et le PNJ apperçoivent un checkpoint volant",voir onglet avec flic/flic-jeep/soldat/soldat-jeep situation 1),,,, flic/flic-jeep/soldat/soldat-jeep {1}
-1,"""I cannot take you there, I don't have a permit""",,,,,5,,
0,,,,,,,,
1,,,une voiture PIVERT s'approche du joueur,,voiture lambda,2,,
,,,,,taxi,10,,
,,,,,contrebandier,70,,
,,,,,passeur,40,,
,,,,,voleur,50,,
,,,,,paysan en tracteur,2,,
2,"""Everything allright?""",,,,,,,
,"""Do you need some help?""",,,,,,,
,"""What are you doing around here?""","""I'm looking for [X], do you know where it is?""",le joueur s'arrête,,le joueur est dans PLACE,11,,
,,,,,PLACE est dans zone à intérieur du mur+le joueur est près de PLACE+et avance dans la direction de PLACE,12,,
,,,,,PLACE est dans zone à intérieur du mur+le joueur est loin de PLACE+et avance dans la direction de PLACE,18,,
,,,,,PLACE est dans zone à intérieur du mur+le joueur est loin de PLACE+et avance dans la direction opposé de PLACE,18,,
,,,,,PLACE est situé de l'autre côté du mur,-1,,
,,"""I'm having a walk thank you!""",,,,14,,
,,"""...""",le joueur s'enfuit,,,15,,
3,"""Well, here you are, this is [PLACE]""","""Thank you, have a good day""",,,,5,,
,,"""I'm looking for [@] and [@]""",,,ne pas être dans/près/à l'entrée de PLACE de SO and SO,6,,
,,,,,SO and SO est un PIVERT+dans la PLACE de SO and SO+près de SO and SO,7,,
,,,,,SO and SO est un PIVERT+dans la PLACE de SO and SO+loin de SO and SO,8,,
,,,,,SO and SO est un PIVERT+dans la PLACE de SO and SO+face à SO and SO,,,voir rencontre avec SO and SO {1}
5,,,Le véhicule repart,,,15,,
6,"""I'm sorry I cannot help you!""",,,,,5,,
7,"""he lives at the corner""","""Thanks""",le joueur continue son chemin,,,15,,
8,"""I have no idea where he lives""",,,,,5,,
10,"""Hi are you looking for a ride?""","""No thanks""",,,,5,,
,,"""Yes, I'm going to [X]""",,,le joueur est dans PLACE,11,,
,,,,,PLACE est dans zone à intérieur du mur+le joueur est près de PLACE+et avance dans la direction de PLACE,12,,
,,,,,PLACE est dans zone à intérieur du mur+le joueur est loin de PLACE+et avance dans la direction de PLACE,18,,
,,,,,PLACE est dans zone à intérieur du mur+le joueur est loin de PLACE+et avance dans la direction opposé de PLACE,18,,
,,,,,PLACE est dans zone de l'autre côté du mur,-1,,
11,"""Then, you reached your destination!""",,,,,5,,
12,"""I'll take you, it's not far from here.""","""Ok""",le joueur monte dans le véhicule,,,,,
,,"""Where is it?""",,,le joueur est près de PLACE+et avance dans la direction de PLACE,17,,
,,,,,le joueur est près de PLACE+et avance dans la direction opposé de PLACE,16,,
,,,,,le joueur est loin de PLACE+et avance dans la direction de PLACE,18,,
,,,,,le joueur est loin de PLACE+et avance dans la direction opposé de PLACE,18,,
14,"""Have a good day!""",,,,,15,,
15,,,le joueur continue son chemin,,,,,
16,"""It's right behind you!""","""Ok, can you take me there?""",,,,19,,
,,"""Thanks, I'll manage""",,,,5,,
17,"""It is the next settlement, straight ahead""","""Ok, can you take me there?""",,,,19,,
,,"""Thanks, I'll manage""",,,,5,,
18,"""It's far from here, better come with me""","""Ok, can you take me there?""",,,,19,,
,,"""Thanks, I'll manage""",,,,5,,
19,"""Get in the car""",,le joueur monte,,voiture lambda,20,,
,,,,,taxi,30,,
,,,,,contrebandier,70,,
,,,,,passeur,40,,
,,,,,voleur,50,,
,,,,,paysan en tracteur,20,,
20,,,"La voiture reprend sa route avec le joueur à son bord
elle fait le trajet pour aller au point que le joueur à indiqué",,,"21,-1",,
21,,,le joueur entame une discussion avec le conducteur,,,,,voir ouvrier+PIVERT lambda à pied
,,,le joueur ne dit rien,,,22,,
22,"""Here you are chap!""","""Thanks""",le joueur descend de la voiture,,voiture lambda,5,,
,,,,,taxi,,,
,,,,,contrebandier,,,
,,,,,passeur,,,
,,,,,voleur,,,
,,,,,paysan en tracteur,,,
30,"""I'll make you a special price for you sir""","""Do I have to pay for it?""",,,,31,,
,,"""Well, I think there is some misunderstanding there!""",le joueur descends de la voiture,,,15,,
31,"""I'm a taxi!""","""Ok, how much is it?""",,,le joueur est près de PLACE,32,,
,,,,,le joueur est loin de PLACE,,,
,,,,,,,,
,,,,,,,,
32,"""$30""","""Here they are""",,,,34,,
,,"""Sorry, I don't even have that""",le joueur descends de la voiture,,,15,,
,,,,,,34,,
33,"""$60""","""Here they are""",,,,34,,
,,"""Sorry, I don't even have that""",le joueur descends de la voiture,,,15,,
34,"""Thanks""",,,,,20,,
40,"""Everything allright?""",,,,,,,
,"""Do you need some help?""",,,,,,,
,"""What are you doing around here?""","""Nothing, just going to visit some friends""",,,,41,,
,,"""Actually, I'm looking for [@] and [@]""",,,,42,,
,,"""I'm looking for a way to cross on the other side""",,,,43,,
41,"""Fine""",,,,,20,,
42,"""I don't know that fellow""",,,,,20,,
43,,,,,,,,voir rencontre avec passeur pivert {1}
50,"""Everything allright?""",,,,,,,
,"""Do you need some help?""",,,,,,,
,"""What are you doing around here?""","""Nothing, just going to visit some friends""",,,,51,,
,,"""Actually, I'm looking for [@] and [@]""",,,,52,,
,,"""I'm looking for a way to cross on the other side""",,,,,,
51,"""Oh, I see""",,,,,53,,
52,"""I don't know that fellow""",,,,,53,,
53,,,,,,,,rencontre avec un voleur {1}
70,"""Everything allright?""",,,,,,,
,"""Do you need some help?""",,,,,,,
,"""What are you doing around here?""","""Nothing, just going to visit some friends""",,,,71,,
,,"""Actually, I'm looking for [@] and [@]""",,,,72,,
,,"""I'm looking for a way to cross on the other side""",,,,,,
71,"""Oh, I see""",,,,,20,,
72,"""I don't know that fellow""",,,,,20,,
73,,,,,,,,rencontre avec contrebandier pivert {1}
