Index,Says Persona,Replies Player,Action Persona,Action Player,Condition,Next,Result,Comment
0,,,,,,,,
1,"""Hello stranger, what do you want?""",,,,,,,
,"""Need some help?""","""Hello boys, do you know if there is a passage through the wall?""",,,if passage=1,2;3,,
,,"""Do you know someone who can find me a job?""",,,if travail=0,,,
,,"""Nothing special, just having a walk""",,,,,,
2,"""It depends…""",,,,,,,
,"""Sometimes...""","""I've got what you want [$]""",,,if $=++,5,,
3,"""We don't know""",,,,,,,
,"""There are no passage here""","""That's strange, I don't trust you""",,,,,,
,,"""Okay anyway, is there someone you know who can give me a job ?""",,,if travail=0,2,,
4,"""We don't care about money""",,,,,,,
5,"""Here it is""","""Thanks you, have a nice day boys""",,,,,passage+1&&$--,
