Index,Says Persona,Replies Player,Action Persona,Action Player,Condition,Next,Result,Comment
-1,"""Have a nice day!...""",,le guetteur se lève s'éloigne et disparait,,,15,,
0,Anodin,,,,,,,
1,"""Hi""","""Hi!""",,,,2,,
2,"""What are you doing around here?""","""I was told to got this way, there is a PASSAGE to the other side"" ",,,le joueur se rapproche d'un passage à travers le mur,3,,
,,,,,le joueur s'éloigne d'un passage à travers le mur,4,,
,,"""It's not your business""",,,,-1,,
3,"""That's indeed the way. Yet be careful, you're not alone!""","""Thanks""",,,,15,,
,,"""What do you mean""",,,,20,,
4,"""You are taking the wrong way.""","""Where should I go?""",,,the PASSAGE is northward,6,,
,,,,,the PASSAGE is southward,5,,
,,,,,the PASSAGE is eastward,7,,
,,,,,the PASSAGE is westward,8,,
,,"""It's not your business""",,,,-1,,
5,"""Take South""","""Thanks""",,poursuit son chemin,le joueur continue dans la bonne direction,3,,
,,,,poursuit son chemin,le joueur se trompe de direction,9,,
6,"""Take North""","""Thanks""",,poursuit son chemin,le joueur continue dans la bonne direction,3,,
,,,,poursuit son chemin,le joueur se trompe de direction,10,,
7,"""Take East""","""Thanks""",,poursuit son chemin,le joueur continue dans la bonne direction,3,,
,,,,poursuit son chemin,le joueur se trompe de direction,11,,
8,"""Take West""","""Thanks""",,poursuit son chemin,le joueur continue dans la bonne direction,3,,
,,,,poursuit son chemin,le joueur se trompe de direction,12,,
9,"""I told you South""",,,poursuit son chemin,le joueur continue dans la bonne direction,3,,
,,,,poursuit son chemin,le joueur se trompe de direction,9,,
10,"""I told you North""",,,poursuit son chemin,le joueur continue dans la bonne direction,3,,
,,,,poursuit son chemin,le joueur se trompe de direction,10,,
11,"""I told you East""",,,poursuit son chemin,le joueur continue dans la bonne direction,3,,
,,,,poursuit son chemin,le joueur se trompe de direction,11,,
12,"""I told you West""",,,poursuit son chemin,le joueur continue dans la bonne direction,3,,
,,,,poursuit son chemin,le joueur se trompe de direction,12,,
15,"""...""",,,le joueur continue son chemin,,0,,
20,"""I mean that you should check once in a while with people around. They know a bit about the whereabout of the army and the police""","""Can't you tell me more?""",,,,21,,
,,"""Ok""",,,,15,,
21,"""I'm just passing by not watching"" ",,Le PNJ s'en va et disparaît,,,15,,
