Index,Says Persona,Replies Player,Action Persona,Action Player,Condition,Next,Result,Comment
0,,,,,,,,
1,"""Where do you wanna go?""",,,,,2,,
,"""You take a ride?""",,,,,,,
,"""Where to go now?""","""Bring me to [PLACE] boss""",la voiture démarre,,,,,
,,"""Hey b0ss, I wanna go to [PLACE]""",la voiture démarre,,,2,,
,,"""Boss, bring me to [PLACE]""",la voiture démarre,,,2,,
,,"""Far away…""",la voiture démarre,,,2,,
2,"""20 bucks please""","""Ok…""",,,$>20,42,,
,,"""… I don't have enough money""",,,$<=20,0,,
42,"""Hey give us the WinScreen!""",,WinScreen,,,WinScreen,,
